"deer_w2","moose_w2","elk_w2","sheep_w2","goat_w2","wolf_w2","Elevation2","DistFromHumanAccess2","DistFromHighHumanAccess2","pack","used"
1,1,1,1,1,1,2841.19333333334,5506.06469942917,5303.81082396143,"Red Deer",0
4,5,3,1,1,4,1877.69377777756,189.684033358004,58.5841158445528,"Red Deer",0
3,3,3,4,4,3,2131.89288888891,6867.44964617153,6911.69087608201,"Red Deer",0
4,4,4,4,3,4,1894.02000000031,1554.44339078848,13026.7491998427,"Red Deer",0
,,,,,,1737,140.315966641996,267.483239949495,"Red Deer",0
1,4,3,3,5,3,1994.63333333389,175.837144193193,0,"Red Deer",0
4,4,4,3,3,4,1773.07333333283,1606.3074632162,2415.28755312587,"Red Deer",0
,,,,,,1743.36622222218,83.87053050893,55.6724301703833,"Red Deer",0
1,1,1,1,1,1,2761.11333333371,3346.65615015962,9678.29611341018,"Red Deer",0
3,3,4,6,5,4,2289.19333333266,1523.87550107718,12253.4232093147,"Red Deer",0
5,1,4,6,5,5,2008.10711110991,795.86793879748,4778.20221144865,"Red Deer",0
5,4,4,1,4,5,2065.27333333297,1406.67530905953,1221.0137343218,"Red Deer",0
,,,,,,1673.37999999988,385.480702654814,289.850441779707,"Red Deer",0
1,1,1,1,1,1,2585.29422222198,2884.73412858908,5176.04555814271,"Red Deer",0
4,5,3,1,1,4,1899.25999999963,275.852656134953,0,"Red Deer",0
1,1,1,1,1,1,2415.53288888934,2167.02061181692,3746.73522330202,"Red Deer",0
1,1,1,1,3,1,2641.35955555538,3998.30529623732,3938.44816606012,"Red Deer",0
4,5,4,1,4,4,1722.65333333352,618.431004106882,456.919948276047,"Red Deer",0
3,3,3,1,1,3,2111.2333333337,143.737713951764,71.7401751565666,"Red Deer",0
,,,,,,2464.14622222224,2264.95689782212,2440.00188579323,"Red Deer",0
3,4,5,5,4,4,2266.77955555545,1794.79690173192,16456.4735764199,"Red Deer",0
1,1,1,1,1,1,2642.02711111079,3555.11377750285,3372.84017133116,"Red Deer",0
3,3,5,5,5,4,2026.07422222163,680.69988716435,1721.22467950017,"Red Deer",0
1,1,1,1,4,1,2782.09333333407,2057.73700576554,1961.37130514753,"Red Deer",0
1,1,1,1,4,1,2250.36622222099,769.294534852978,7871.16838222101,"Red Deer",0
5,4,3,3,3,5,1645.61288888897,107.413440466858,353.928691060114,"Red Deer",0
3,3,5,5,5,4,2216.26666666617,129.167684039383,14487.9006782226,"Red Deer",0
1,1,1,1,4,1,2544.95866666691,1520.73553972356,10057.7328211721,"Red Deer",0
4,5,5,3,1,5,1782.78000000006,386.485290778829,10293.0152890875,"Red Deer",0
1,1,1,1,4,1,2720.50622222351,1379.46086414488,7688.83605624827,"Red Deer",0
5,3,4,5,5,5,2290.42000000117,1103.65695700746,10518.1030591365,"Red Deer",0
1,1,1,1,4,1,2205.25422222323,743.691597311118,994.995897299501,"Red Deer",0
4,4,4,3,1,4,1526.24666666679,257.022603275492,141.13287256559,"Red Deer",0
4,5,4,3,3,4,1924.98711111084,287.413440466858,6407.28002764605,"Red Deer",0
5,3,4,5,5,5,2282.26622222131,914.241648059237,847.044186078012,"Red Deer",0
3,4,4,3,1,4,1951.26800000025,1285.45650771301,11699.4902434672,"Red Deer",0
1,1,1,1,4,1,2220.82000000094,820.923036246357,6227.41017645387,"Red Deer",0
3,3,3,4,4,3,2170.68711111127,138.25708614063,6039.15328553045,"Red Deer",0
,,,,,,2140.64666666605,387.227685415891,257.652735421318,"Red Deer",0
1,1,1,1,4,1,2437.55866666579,1949.67925172094,1909.79730732495,"Red Deer",0
,,,,,,1847.02000000057,1115.67168608383,971.581064605703,"Red Deer",0
,,,,,,2153.27333333365,492.586559533141,10248.4119659621,"Red Deer",0
1,1,1,1,4,1,2318.80488888984,2214.72720887975,10078.013226782,"Red Deer",0
3,3,3,1,1,3,2279.07333333309,3470.67142229622,3340.51113612715,"Red Deer",0
5,1,4,6,5,5,1871.18088888879,1929.8451863767,3268.73700101182,"Red Deer",0
3,3,5,5,5,4,2470.08088888817,1948.16542181784,16073.1280672664,"Red Deer",0
,,,,,,2092.42577777824,1659.79620486015,1557.99074012529,"Red Deer",0
4,3,3,5,6,4,2237.18044444444,493.59657676138,1597.51910521692,"Red Deer",0
4,5,4,3,1,4,1620.97333333315,989.625041985469,1019.93555740114,"Red Deer",0
4,5,4,1,4,4,1860.46622222212,777.90962370783,632.039849453031,"Red Deer",0
,,,,,,2324.08044444585,2222.9546525702,8719.05096220896,"Red Deer",0
3,1,1,3,4,3,2363.0795555557,2506.71145102377,3219.32913683006,"Red Deer",0
4,5,4,3,3,4,1854.15333333339,912.695362452985,10677.2046496428,"Red Deer",0
,,,,,,1724.76711111091,74.5728429327984,30.7948267801574,"Red Deer",0
,,,,,,2325.32044444381,404.648939810163,10488.1605867058,"Red Deer",0
1,1,1,1,1,1,2618.25333333334,3491.76855050279,7567.92727556542,"Red Deer",0
1,1,1,1,1,1,2479.16044444455,5038.87474697244,5243.3017438164,"Red Deer",0
1,1,1,1,4,1,2628.47288888799,53.7278320642496,3028.79512159987,"Red Deer",0
1,1,1,1,4,1,2622.67955555509,4096.22970390124,8918.08680130991,"Red Deer",0
1,1,1,1,4,1,2675.82000000043,3911.95955742644,3794.33072080803,"Red Deer",0
,,,,,,2034.48666666636,342.13083458337,3390.87028188036,"Red Deer",0
4,5,5,3,3,5,1797.53333333327,80.3159666419961,181.472829272582,"Red Deer",0
,,,,,,1706.53333333327,19.8905687136943,1510.25561617347,"Red Deer",0
4,5,4,3,1,4,1697.49288888872,1292.04490420151,1232.76915238187,"Red Deer",0
